사번,상급자 사번,성명,본부,처,부,직종명,직급명,직급,만나이,보직명,주요업무,최종학력,법인임용일,퇴직예정일,발령정보,포상이력,자격면허,징계이력,휴직이력
317247,320229,이현기,본부,재무처,계약·구매·자산운영팀,행정직,,4급,,계약·구매·자산운영팀장,"구매/관재팀 업무 총괄, 민원 및 불편사항 처리, 물품관리위원회 간사, 행정부서평가, 일반서무",대학졸업,2006.04.01,2038.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 19개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.39) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
367501,320229,이상훈,본부,재무처,계약·구매·자산운영팀,행정직,,5급,,,"건설공사 계약 (건축분야, 소방분야), 건설용역 계약(설계용역, 감리용역), 공사계약 개선업무",대학졸업,2011.12.01,2044.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 20개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.40) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
322995,320229,김인규,본부,재무처,회계팀,행정직,,5급,,회계팀장,"교비, 산학회계 업무 총괄",대학졸업,2007.05.01,2042.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 21개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.41) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 서면경고 / 경징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
374992,320229,안태준,본부,재무처,예산팀,행정직,,6급,,,"산학 예산편성, 산학 예산전용/재배정, 대학 예산 분석(책임운영부서등), 재정기획위원회/등록금심의위원회, 특별수당",대학졸업,2013.12.01,2048.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 22개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.42) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
368906,320229,강성모,본부,재무처,계약·구매·자산운영팀,행정직,,6급,,,"전기공사 계약, 설비공사 계약, 통신공사 계약",대학원(석사)졸업,2013.02.01,2046.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 23개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.43) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
389684,320229,박수철,본부,재무처,계약·구매·자산운영팀,행정직,,6급,,,"관재업무(정), 물품관리 및 검수(교비), 물품관리위원회, 장비심의위원회, 전산개발(관재), 기계기구  구입(5,500만원 이상)",대학졸업,2016.01.01,2045.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 24개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.44) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 견책 / 경징계 / 복무규정 위반,
357689,320229,박현주,본부,재무처,회계팀,행정직,,6급,,,,대학원(석사)졸업,2010.05.01,2047.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 25개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.45) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
372091,320229,윤세희,본부,재무처,회계팀,행정직,,6급,,,산학협력단 회계 결산,대학졸업,2013.07.01,2041.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 26개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.46) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-35 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
204758,320229,안복희,본부,재무처,회계팀,행정직,,6급,,,"연구비 및 사업비 지출, 부가세 신고 및 납부, 여입 및 대체 업무, 법인카드 발급 및 관리, 기부금 현황  업무",전문대졸,1988.04.16,2030.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 27개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.47) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-36 / 고용부,(2015.01.01) / 서면경고 / 경징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
435822,320229,이채훈,본부,재무처,예산팀,행정직,,8급,,,"교비 예산 편성, 교비 예산 전용/재배정, 서무",대학졸업,2020.12.01,2056.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 28개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.48) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-37 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
453057,320229,오용석,본부,재무처,계약·구매·자산운영팀,행정직,,8급,,,"용역 계약, 임대차 계약, 유지/보수 계약, 단가계약/MRO, 소모품 관리",대학졸업,2022.09.01,2052.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 29개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.49) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-38 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
435866,320229,이정혁,본부,재무처,회계팀,행정직,,8급,,,"급여, 세금, 지출, 연말정산",대학졸업,2020.12.01,2053.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 30개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.50) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-39 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
444552,320229,박승련,본부,재무처,회계팀,행정직,,8급,,,"수입/등록금, 법인카드, 지출",대학졸업,2022.01.01,2056.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 31개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.51) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-40 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
301521,root,김익현,본부,교무처,,,,,,교무처장,,,,,,,,,
317214,301521,정성민,본부,교무처,교무팀,행정직,,4급,,교무팀장,"업무총괄, 팀 업무 계선계획 수립",대학졸업,2006.04.01,2039.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 33개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.51) / 우수직원상 / 표창 / 울산대학교",(2010.05.10) / 노무사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
205579,301521,서향미,본부,교무처,학사관리팀,행정직,,4급,,학사관리팀장,"업무총괄, 업무제도 개선",대학원(석사)졸업,1999.04.01,2035.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 34개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.52) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
305334,301521,박민,본부,교무처,교수학습개발센터,행정직,,4급,,교수학습개발팀장,교수법 ·학습법 프로그램 총괄,대학졸업,2003.03.01,2037.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 35개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.53) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
303556,301521,정명희,본부,교무처,교무팀,행정직,,5급,,,"전임교원 재계약, 승진 및 정년보장, 교원 호봉 승급, 교수 세미나, OT, 퇴임식, 고등교육통계 및 대내외 현황관리, 글로컬대학 교원 산업체 파견",대학원(석사)졸업,2002.03.25,2036.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 36개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.54) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 변호사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
367411,301521,황세원,본부,교무처,교무팀,행정직,,6급,,,"전임교원 초빙, 교원 징계 및 소송, 고등교육통계 및 대내외 현황 관리",대학원(석사)졸업,2012.12.01,2044.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 37개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.55) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 소방기능사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
367400,301521,오현호,본부,교무처,교무팀,행정직,,6급,,,"비전임교원, 강사 임면 관리, 교원 연구년 관리, 전임교원 퇴직, 청탁금지법, 교원 관련 교육, 교원,조교(남) 성희롱 고충 상담",대학졸업,2012.12.01,2047.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 38개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.56) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 정보처리기사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
333885,301521,김경배,본부,교무처,학사관리팀,행정직,,6급,,,"성적 및 졸업, 강의평가, 국내 대학 학술 교류, 교직관련",대학졸업,2009.03.01,2043.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 39개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.57) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) / 기술거래사 / 국가공인 / 12-34 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
367422,301521,최재영,본부,교무처,학사관리팀,행정직,,6급,,,"교과 과정 편성, 수업시간표 및 강의계획서, 교육지표 및 CQSIS 관리",대학졸업,2012.12.01,2044.02.29,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 40개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.58) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-34 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,(육아휴직) 2018.01.01~2018.12.31
367523,301521,이선애,본부,교무처,학사관리팀,행정직,,7급,,,"학적 변동 관리, 전자출결시스템 제반 운영, 출석 업무 관리, 휴ㆍ보강 관리, 전부(과) 및 전공 배정/변경 관리",대학원(석사)졸업,2011.12.01,2045.08.31,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 41개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.59) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-35 / 고용부,(2015.01.01) / 감봉3개월 / 중징계 / 복무규정 위반,
389695,301521,박찬우,본부,교무처,교수학습개발센터,행정직,,7급,,,"교수학습프로그램 기획 운영, 원격교육 운영 지원",대학졸업,2016.01.01,2049.02.28,"(2012.12.1) 보직임용 / 총무처 총무인사팀 / 4년 6개월 / 당시 주요 직무 A,B,C
(2009.12.1) 승진(5급) / 총무처 회계팀 / 3년 6개월 / 당시 주요 직무 D,E,F
(2006.4.1) 신규임용 / 총무처 총무인사팀 / 2년 42개월 / 당시 주요 직무 G,H,I,K","(2023.12.31) / 교육부장관표창 / 표창 / 교육부
(2016.05.25) / 울산광역시장상 / 표창 / 울산광역시
(2015.12.60) / 우수직원상 / 표창 / 울산대학교",(2006.05.10) /창업보육전문매니저 / 사단법인 / 12-36 / 고용부,(2015.01.01) / 감봉1개월 / 중징계 / 복무규정 위반,
